zts1e	General Effect
zts1612e	You can resist negative effects, even without the necessary magical powers.
zts1613e	Magic Cube [Movement Speed]
zts1614e	Your movement speed increases, even without the necessary magical powers.
zts1615e	Magic Cube [Blackout]
zts1616e	You can cause Blackouts, even without the necessary magical powers.
zts1617e	Shoulder Charge (F)
zts1618e	Charge opponents to the ground with your shoulder.
zts1619e	Shoulder Charge (E)
zts1620e	Shoulder Charge (D)
zts1621e	Shoulder Charge (C)
zts1622e	Shoulder Charge (B)
zts1623e	Shoulder Charge (A)
zts1624e	Shoulder Charge (S)
zts1625e	Tenacity (F)
zts1626e	You have absolutely no need to fear death.
zts1627e	Tenacity (E)
zts1628e	Tenacity (D)
zts1629e	Tenacity (C)
zts1630e	Tenacity (B)
zts1631e	Tenacity (A)
zts1632e	Tenacity (S)
zts1633e	Static Shock (F)
zts1634e	Stun opponents with a powerful electrostatic shock.
zts1635e	Static Shock (E)
zts1636e	Static Shock (D)
zts1637e	Static Shock (C)
zts1638e	Static Shock (B)
zts1639e	Static Shock (A)
zts1640e	Static Shock (S)
zts1641e	Mega Titan Wings
zts1642e	Titan Transformation
zts1643e	Special Abilities of Mega Titan Wings
zts1644e	Mega Titan Booster.  If the SP card has been upgraded to +15, there is a chance of the Titan Transformation being activated.
zts1645e	Greater New Year's Blessing
zts1646e	Increases experience points by 30% for 30 minutes.
zts1647e	New Year's Blessing
zts1648e	Increases experience points by 10% for 30 minutes.
zts1649e	Shadow Prowler
zts1650e	You can move about quickly in secret, but the effect ends when you dismount.
zts1651e	Karate Block
zts1652e	Blocks enemy attacks.
zts1653e	Iron Skin
zts1654e	Completely reflects enemy's attack.
zts1655e	Durable Body
zts1656e	Uses energy to increase attack power.
zts1657e	Nimble Body
zts1658e	Uses energy to move more quickly.
zts1659e	Combat Readiness
zts1660e	Skill can be used 3 times without cooldown.
zts1661e	Choir of Angels
zts1662e	Calls on the divine voices of angels.
zts1663e	Heaven's Gate
zts1664e	The mind is confused and the gates of heaven come into view.
zts1665e	I'm a Champion
zts1666e	Show the pride of a champion.
zts1667e	Ghost
zts1668e	You have boundless energy.
zts1669e	Curse of the Bride
zts1670e	You only rarely receive buff effects.
zts1671e	Transformation
zts1672e	Changes your combat stance.
zts1673e	Haetae Energy
zts1674e	Improves physical skills.
zts1675e	Dragon Energy
zts1676e	Improves flame attacks.
zts1677e	Bestial Sprint
zts1678e	Enables lighting quick movement.
zts1679e	Shimmering Flame
zts1680e	Blocks enemy attacks with a heatwave.
zts1681e	Final Flame
zts1682e	Unleashes a spectacular firework.
zts1683e	Tart Hapendam's Martial Arts
zts1684e	Machine Gun
zts1685e	A powerful machine gun.
zts1686e	Zephyr Wings
zts1687e	Fire Devil's Blessing
zts1688e	10% additional damage to monsters in a sealed vessel, 5% additional damage to monsters in the Land of Death
zts1689e	11th Anniversary Buff
zts1690e	Retina Damage (F)
zts1691e	Retina damage reduces your range of vision and makes the target vulnerable.
zts1692e	Retina Damage (E)
zts1693e	Retina Damage (D)
zts1694e	Retina Damage (C)
zts1695e	Retina Damage (B)
zts1696e	Retina Damage (A)
zts1697e	Retina Damage (S)
zts1698e	Claw Wound (F)
zts1699e	The claws of a cat slice deep wounds.
zts1700e	Claw Wound (E)
zts1701e	Claw Wound (D)
zts1702e	Claw Wound (C)
zts1703e	Claw Wound (B)
zts1704e	Claw Wound (A)
zts1705e	Claw Wound (S)
zts1706e	Heart Pound (F)
zts1707e	I am so excited! I feel so much better!
zts1708e	Heart Pound (E)
zts1709e	Heart Pound (D)
zts1710e	Heart Pound (C)
zts1711e	Heart Pound (B)
zts1712e	Heart Pound (A)
zts1713e	Heart Pound (S)
zts1714e	Magic Student Yuna’s Companion (F)
zts1715e	Magic Student Yuna’s Companion (E)
zts1716e	Magic Student Yuna’s Companion (D)
zts1717e	Magic Student Yuna’s Companion (C)
zts1718e	Magic Student Yuna’s Companion (B)
zts1719e	Magic Student Yuna’s Companion (A)
zts1720e	Magic Student Yuna’s Companion (S)
zts19951e	Sidestep
zts19952e	Dodges skills with a sidestep and you come a step closer to Enlightenment.
zts19953e	Enlightenment
zts19954e	Use a buff skill while Enlightenment is active to receive additional effects.
zts19955e	Moonlight Absorption
zts19956e	Allows you to use Full Moon skills.
zts19957e	Mark of the Moon
zts19958e	Beware of the power of Mystic Arts when you bear the Mark of the Moon.
zts19959e	Mark of the Full Moon
zts19960e	Use Lunar Eclipse while Opportunity to Attack is active and your opponent will receive Mark of the Full Moon instead of Mark of the Moon.
zts19961e	Lotus Snare
zts19962e	Trapped opponents are unable to move.
zts19963e	Withstand
zts19964e	When you use Withstand during an enemy attack, you receive an Opportunity to Attack.
zts19965e	Internal Injuries
zts19966e	Using skills and casting spells isn't easy with internal injuries.
zts19967e	Featherweight
zts19968e	Your body becomes as light as a feather so you can move faster but take heavier hits.
zts19969e	Gathering Petals
zts19970e	Allows you to use Lotus Flower skills.
zts19971e	Crescent Moonshade
zts19972e	You hide in the shadow of the moon.
zts19973e	Bound by Moonlight
zts19974e	Your opponent cannot move when bound by the power of moonlight.
zts19975e	Bound by the Full Moon's Light
zts19976e	Your opponent cannot move when bound by the power of the full moon's light.
zts19977e	Petal Hell
zts19978e	Cannot move. HP and MP are reduced.
zts19979e	Lotus Curse
zts19980e	Cannot move. HP and MP are heavily reduced.
zts19981e	Opportunity to Attack
zts19982e	After using an attack skill, you can attack again.
zts19983e	Bathed in Moonlight
zts19984e	You receive this effect when you use Moonlight Absorption while Enlightenment is active.
zts19985e	Bed of Lotus Flowers
zts19986e	You receive this effect when you use Gathering Petals while Enlightenment is active.
zts19987e	Dazzle
zts19988e	The red nose suddenly starts to glow brightly.
zts19989e	Magic of the Red Nose
zts19990e	The healing magic of the red nose restores HP.
zts19991e	Berserker Frenzy
zts19992e	Transform into the Polar Bear Snarl.
zts19993e	Lethargy (F)
zts19994e	Whew, I feel so powerless.
zts19995e	Lethargy (E)
zts19996e	Lethargy (D)
zts19997e	Lethargy (C)
zts19998e	Lethargy (B)
zts19999e	Lethargy (A)
zts20000e	Lethargy (S)
zts20001e	Archery Master (F)
zts20002e	Become a true master archer!
zts20003e	Archery Master (E)
zts20004e	Archery Master (D)
zts20005e	Archery Master (C)
zts20006e	Archery Master (B)
zts20007e	Archery Master (A)
zts20008e	Archery Master (S)
zts20009e	Heartache (F)
zts20010e	I can't regenerate, my heart is hardly beating!
zts20011e	Heartache (E)
zts20012e	Heartache (D)
zts20013e	Heartache (C)
zts20014e	Heartache (B)
zts20015e	Heartache (A)
zts20016e	Heartache (S)
zts20017e	Amora's Companion (F)
zts20018e	Amora's Companion (E)
zts20019e	Amora's Companion (D)
zts20020e	Amora's Companion (C)
zts20021e	Amora's Companion (B)
zts20022e	Amora's Companion (A)
zts20023e	Amora's Companion (S)
zts20024e	Increases attack and defence power.
zts20025e	Distraction
zts20026e	I'm so busy picking up coins I can't concentrate on fighting!
zts20027e	Lucky Mascot!
zts20028e	The Fortune Bushtail's ability to bring good fortune.
zts20029e	Super Lucky Mascot!
zts20030e	The Super Fortune Bushtail's ability to bring great fortune.
zts20031e	Wedding Buff
zts20032e	The power of love...
zts20033e	Confetti Shower
zts20034e	A buff of appreciation for the guests.
zts20035e	Crazy Egg Bomb
zts20036e	You can move the bomb by attacking it. When it inflicts damage on the Mad March Hare, it provides a 100% chance of inflicting a Blackout.
zts20037e	Transform into Eggy
zts20038e	Eggstra Time! (Level 1)
zts20039e	This effect is activated if 3 Crazy Egg Bombs explode near the Mad March Hare at the same time.
zts20040e	Eggstra Time! (Level 2)
zts20041e	This effect is activated if 4 Crazy Egg Bombs explode near the Mad March Hare at the same time.
zts20042e	Eggstra Time! (Level 3)
zts20043e	This effect is activated if 5 Crazy Egg Bombs explode near the Mad March Hare at the same time.
zts20044e	Gives you the energy of a rabbit.
zts20045e	Golden Wool Armour
zts20046e	Protected by the golden wool.
zts20047e	Clouded Mind (F)
zts20048e	The target's mind is clouded and they act strangely.
zts20049e	Clouded Mind (E)
zts20050e	Clouded Mind (D)
zts20051e	Clouded Mind (C)
zts20052e	Clouded Mind (B)
zts20053e	Clouded Mind (A)
zts20054e	Clouded Mind (S)
zts20055e	Steely Resolve (F)
zts20056e	Steely Resolve (E)
zts20057e	Steely Resolve (D)
zts20058e	Steely Resolve (C)
zts20059e	Steely Resolve (B)
zts20060e	Steely Resolve (A)
zts20061e	Steely Resolve (S)
zts20062e	Nausea (F)
zts20063e	Nausea (E)
zts20064e	Nausea (D)
zts20065e	Nausea (C)
zts20066e	Nausea (B)
zts20067e	Nausea (A)
zts20068e	Nausea (S)
zts20069e	Your pet is shocked and will be unsettled for 10 minutes.
zts20070e	Your pet is heavily shocked and will be unsettled for 20 minutes.
zts20071e	Hop
zts20072e	Knocked Down
zts20073e	The opponent is incapacitated and cannot defend themselves.
zts20074e	Knocked Out
zts20075e	The opponent is incapacitated and cannot fight back. The chance of critical hits is increased against knocked out opponents.
zts20076e	Holy Energy
zts20077e	All elements are increased and your body is freed of all negative effects.
zts20078e	Block
zts20079e	You can block enemy attacks. You earn ultimate points for successfully blocking attacks.
zts20080e	Imperturbable Mind
zts20081e	You use the power of meditation to bring mind and body into harmony.
zts20082e	Shadow of Death
zts20083e	Your opponent is close to death. If they are not beaten while Shadow of Death is active, they receive the buff From the Jaws of Fate.
zts20084e	Ultimate Aura (Level 1)
zts20086e	Ultimate Aura (Level 2)
zts20088e	Ultimate Aura (Level 3)
zts20090e	Ultimate Stance
zts20091e	Carry out ultimate skills using ultimate points.
zts20092e	Warrior Meditation
zts20093e	Meditation purifies and empowers your body.
zts20094e	Fatal Wound
zts20095e	Attack power, resistances, movement speed and HP are reduced.
zts20096e	From the Jaws of Fate
zts20097e	Your escape from death instils you with new vigour.
zts20098e	Strong Impulse
zts20099e	This impulse leaves your enemy temporarily unable to fight. When the effect ends, there is a chance they will receive the Fatal Wound effect.
zts20100e	This effect is applied after using an ultimate skill.
zts20101e	This effect is applied after using two ultimate skills.
zts20102e	This effect is applied after using three ultimate skills.
zts20103e	Unlimited Power
zts20104e	You feel invigorated by a magical force which continuously restores your MP.
zts20105e	Spurs
zts20106e	You kick your heels into your Donkey Piñata, increasing your movement speed.
zts20107e	Rainbow Blessing
zts20108e	PvP attack power is increased by 10% during the Rainbow Battle. Movement speed is increased by 2 during the Rainbow Battle.
zts20109e	Cursed Flame (F)
zts20110e	Cursed Flame (E)
zts20111e	Cursed Flame (D)
zts20112e	Cursed Flame (C)
zts20113e	Cursed Flame (B)
zts20114e	Cursed Flame (A)
zts20115e	Cursed Flame (S)
zts20116e	Blazing Armour (F)
zts20117e	Blazing Armour (E)
zts20118e	Blazing Armour (D)
zts20119e	Blazing Armour (C)
zts20120e	Blazing Armour (B)
zts20121e	Blazing Armour (A)
zts20122e	Blazing Armour (S)
zts20123e	Melting Armour (F)
zts20124e	Melting Armour (E)
zts20125e	Melting Armour (D)
zts20126e	Melting Armour (C)
zts20127e	Melting Armour (B)
zts20128e	Melting Armour (A)
zts20129e	Melting Armour (S)
zts20130e	Flaming Armour (F)
zts20131e	Flaming Armour (E)
zts20132e	Flaming Armour (D)
zts20133e	Flaming Armour (C)
zts20134e	Flaming Armour (B)
zts20135e	Flaming Armour (A)
zts20136e	Flaming Armour (S)
zts20137e	One-Winged Perti's Aura (F)
zts20138e	One-Winged Perti's Aura (E)
zts20139e	One-Winged Perti's Aura (D)
zts20140e	One-Winged Perti's Aura (C)
zts20141e	One-Winged Perti's Aura (B)
zts20142e	One-Winged Perti's Aura (A)
zts20143e	One-Winged Perti's Aura (S)
zts20144e	Delicious Tuna
zts20145e	Treat yourself to the Otter's tasty tuna and make sure you're battle ready.
zts20146e	Frozen Tuna
zts20147e	As cold and hard as a stone.
zts20148e	Otter's Blessing
zts20149e	Increases attack and defence.
zts20150e	Battle Ready
zts20151e	The Otter can hardly wait to get stuck in.
zts20152e	12th Anniversary Buff
zts20153e	Weak Blood-Sucking
zts20154e	The loss of blood weakens the body.
zts20155e	Swarm of Bats
zts20156e	Transform into a swarm of bats when danger is lurking.
zts20157e	Night Terror
zts20158e	Your victim fears the terrors that lurk in the dark.
zts20159e	Shackle
zts20160e	Your opponent is put in chains.
zts20161e	Reflect
zts20162e	Reflects enemy attacks.
zts20163e	Anti-Gravity
zts20164e	You float in the air. There's a chance you'll panic.
zts20165e	Demonic Powers
zts20166e	You gain the powers of a demon.
zts20168e	Heart Attack
zts20169e	Your opponent can't attack.
zts20170e	Electrocute
zts20171e	Your opponent suffers an electric shock.
zts20172e	Lightning Wings
zts20173e	You receive this buff through the Lightning Wings.
zts20174e	This judgement causes worlds to perish.
zts20175e	This judgement causes worlds to perish.
zts20176e	Shaggy Fur
zts20177e	The alpaca's shaggy fur protects you.
zts20178e	Poisonous Fumes
zts20179e	These fumes have corrupted the forest.
zts20180e	Poison
zts20181e	You can be poisoned in hazardous areas.
zts20182e	Weak Poison
zts20183e	Slight poisoning. Be careful, it is infectious! Boost your immune system to withstand the poison.
zts20184e	Boost Immune System
zts20185e	Strengthens your body and makes you immune to Carno's poison.
zts20186e	Lethal Injury
zts20187e	Carno's teeth and claws tear deep wounds.
zts20188e	Body Bomb
zts20189e	Explodes after a certain amount of time, dealing you and nearby allies 4,000 damage.
zts20190e	Gorged
zts20191e	Belial is strengthened by the souls he devours.
zts20192e	Soul Drain
zts20193e	Belial weakens your soul.
zts20194e	Sudden Twist
zts20195e	Belial reflects your attacks and inflicts damage on your allies.
zts20196e	Spiky Leather
zts20197e	Grants you a buff which protects you.
zts20198e	Spiky Leather +1
zts20199e	Spiky Leather +2
zts20200e	Spiky Leather +3
zts20201e	Spiky Leather +4
zts20202e	Spiky Leather +5
zts20203e	Spiky Leather +6
zts20204e	Spiky Leather +7
zts20205e	Spiky Leather +8
zts20206e	Spiky Leather +9
zts20207e	Bloody Revenge
zts20208e	Bloody Revenge +1
zts20209e	Bloody Revenge +2
zts20210e	Bloody Revenge +3
zts20211e	Bloody Revenge +4
zts20212e	Bloody Revenge +5
zts20213e	Bloody Revenge +6
zts20214e	Bloody Revenge +7
zts20215e	Bloody Revenge +8
zts20216e	Bloody Revenge +9
zts20217e	Deadly Blow
zts20218e	Deadly Blow +1
zts20219e	Deadly Blow +2
zts20220e	Deadly Blow +3
zts20221e	Deadly Blow +4
zts20222e	Deadly Blow +5
zts20223e	Deadly Blow +6
zts20224e	Deadly Blow +7
zts20225e	Deadly Blow +8
zts20226e	Deadly Blow +9
zts20227e	Neurotoxin
zts20228e	Neurotoxin +1
zts20229e	Neurotoxin +2
zts20230e	Neurotoxin +3
zts20231e	Neurotoxin +4
zts20232e	Neurotoxin +5
zts20233e	Neurotoxin +6
zts20234e	Neurotoxin +7
zts20235e	Neurotoxin +8
zts20236e	Neurotoxin +9
zts20237e	Apocalypse Power (Level 1)
zts20238e	Apocalypse Power (Level 2)
zts20239e	Apocalypse Power (Level 3)
zts20240e	Apocalypse Power (Level 4)
zts20241e	Apocalypse Power (Level 5)
zts20242e	Reflection Power (Level 1)
zts20243e	Reflection Power (Level 2)
zts20244e	Reflection Power (Level 3)
zts20245e	Reflection Power (Level 4)
zts20246e	Reflection Power (Level 5)
zts20247e	Wolf Power (Level 1)
zts20248e	Wolf Power (Level 2)
zts20249e	Wolf Power (Level 3)
zts20250e	Wolf Power (Level 4)
zts20251e	Wolf Power (Level 5)
zts20252e	Kickback Power (Level 1)
zts20253e	Kickback Power (Level 2)
zts20254e	Kickback Power (Level 3)
zts20255e	Kickback Power (Level 4)
zts20256e	Kickback Power (Level 5)
zts20257e	Explosion Power (Level 1)
zts20258e	Explosion Power (Level 2)
zts20259e	Explosion Power (Level 3)
zts20260e	Explosion Power (Level 4)
zts20261e	Explosion Power (Level 5)
zts20262e	Diffusion Power (Level 1)
zts20263e	Diffusion Power (Level 2)
zts20264e	Diffusion Power (Level 3)
zts20265e	Diffusion Power (Level 4)
zts20266e	Diffusion Power (Level 5)
zts20267e	Lightning Power (Level 1)
zts20268e	Lightning Power (Level 2)
zts20269e	Lightning Power (Level 3)
zts20270e	Lightning Power (Level 4)
zts20271e	Lightning Power (Level 5)
zts20272e	Curse Power (Level 1)
zts20273e	Curse Power (Level 2)
zts20274e	Curse Power (Level 3)
zts20275e	Curse Power (Level 4)
zts20276e	Curse Power (Level 5)
zts20277e	Bear Power (Level 1)
zts20278e	Bear Power (Level 2)
zts20279e	Bear Power (Level 3)
zts20280e	Bear Power (Level 4)
zts20281e	Bear Power (Level 5)
zts20282e	Frost Power (Level 1)
zts20283e	Frost Power (Level 2)
zts20284e	Frost Power (Level 3)
zts20285e	Frost Power (Level 4)
zts20286e	Frost Power (Level 5)
zts20287e	The venom of the snake loa is particularly potent.
zts20288e	Snake Loa's Curse
zts20289e	Damage is increased by the Snake Loa's Curse.
zts20290e	Reinforced Beast King's Pelt
zts20291e	The Beast King's pelt hardens.
zts20292e	Beast King's Pelt
zts20293e	The Beast King's pelt is extraordinary.
zts20294e	Beast King's Curse
zts20295e	The Beast King is targeting you.
zts20296e	Gentle Cold Breeze
zts20297e	The Frost Power makes you shiver.
zts20298e	Strong Cold Breeze
zts20299e	The Frost Power makes you freeze.
zts20300e	Demon God's Curse
zts20301e	Belial's curse makes you sluggish.
zts20302e	Cursed Arrow
zts20303e	Damage is increased by the Cursed Arrow.
zts20304e	Spirit King's Venom
zts20305e	Magic damage is increased by the Spirit King's Venom.
zts20306e	Wounded by the Beast King
zts20307e	Wounds caused by the Beast King are usually fatal.
zts20308e	Curse of the Horn
zts20309e	The Beast King's horn curses you.
zts20310e	Cursed Blade
zts20311e	Belial's blade curses you.
zts20312e	Elemental Weakening
zts20313e	The Spirit King's fire reduces ranged defence and all elements.
zts20314e	Bear's Curse
zts20315e	The bear loa curses you.
zts20316e	Healthy Moss
zts20317e	Moss porridge is good for your eyesight.
zts20318e	Makes your skin more resistant and causes spikes to grow out of your pelt.
zts20319e	Cower
zts20320e	Increases defence power at the expense of attack power.
zts20321e	Cower +1
zts20322e	Cower +2
zts20323e	Cower +3
zts20324e	Cower +4
zts20325e	Cower +5
zts20326e	Cower +6
zts20327e	Cower +7
zts20328e	Cower +8
zts20329e	Cower +9
zts20330e	Malleable Pelt
zts20331e	The armour adapts to the damage type.
zts20332e	Malleable Pelt +1
zts20333e	Malleable Pelt +2
zts20334e	Malleable Pelt +3
zts20335e	Malleable Pelt +4
zts20336e	Malleable Pelt +5
zts20337e	Malleable Pelt +6
zts20338e	Malleable Pelt +7
zts20339e	Malleable Pelt +8
zts20340e	Malleable Pelt +9
zts20341e	Bear Stamina
zts20342e	The blessing of the bear loa grants you more stamina.
zts20343e	Bear Stamina +1
zts20344e	Bear Stamina +2
zts20345e	Bear Stamina +3
zts20346e	Bear Stamina +4
zts20347e	Bear Stamina +5
zts20348e	Bear Stamina +6
zts20349e	Bear Stamina +7
zts20350e	Bear Stamina +8
zts20351e	Bear Stamina +9
zts20352e	Thick-Skinned
zts20353e	Increases resistance and armour.
zts20354e	Thick-Skinned +1
zts20355e	Thick-Skinned +2
zts20356e	Thick-Skinned +3
zts20357e	Thick-Skinned +4
zts20358e	Thick-Skinned +5
zts20359e	Thick-Skinned +6
zts20360e	Thick-Skinned +7
zts20361e	Thick-Skinned +8
zts20362e	Thick-Skinned +9
zts20363e	Blessed Pelt
zts20364e	The holy pelt of the bear loa protects you from negative effects.
zts20365e	Blessed Pelt +1
zts20366e	Blessed Pelt +2
zts20367e	Blessed Pelt +3
zts20368e	Blessed Pelt +4
zts20369e	Blessed Pelt +5
zts20370e	Blessed Pelt +6
zts20371e	Blessed Pelt +7
zts20372e	Blessed Pelt +8
zts20373e	Blessed Pelt +9
zts20374e	Lightning Defence
zts20375e	Boosts your armour in a flash.
zts20376e	Lightning Defence +1
zts20377e	Lightning Defence +2
zts20378e	Lightning Defence +3
zts20379e	Lightning Defence +4
zts20380e	Lightning Defence +5
zts20381e	Lightning Defence +6
zts20382e	Lightning Defence +7
zts20383e	Lightning Defence +8
zts20384e	Lightning Defence +9
zts20385e	Bear Strike
zts20386e	Those who understand how to live in harmony with nature can embrace the power of the bear loa.
zts20387e	Bear Strike +1
zts20388e	Bear Strike +2
zts20389e	Bear Strike +3
zts20390e	Bear Strike +4
zts20391e	Bear Strike +5
zts20392e	Bear Strike +6
zts20393e	Bear Strike +7
zts20394e	Bear Strike +8
zts20395e	Bear Strike +9
zts20396e	Elemental Blessing
zts20397e	All elements are increased.
zts20398e	Elemental Blessing +1
zts20399e	Elemental Blessing +2
zts20400e	Elemental Blessing +3
zts20401e	Elemental Blessing +4
zts20402e	Elemental Blessing +5
zts20403e	Elemental Blessing +6
zts20404e	Elemental Blessing +7
zts20405e	Elemental Blessing +8
zts20406e	Elemental Blessing +9
zts20407e	Attack Stance
zts20408e	Increases attack power at the expense of defence.
zts20409e	Attack Stance +1
zts20410e	Attack Stance +2
zts20411e	Attack Stance +3
zts20412e	Attack Stance +4
zts20413e	Attack Stance +5
zts20414e	Attack Stance +6
zts20415e	Attack Stance +7
zts20416e	Attack Stance +8
zts20417e	Attack Stance +9
zts20418e	Lion Claws
zts20419e	Lion Claws tear deep wounds.
zts20420e	Lion Claws +1
zts20421e	Lion Claws +2
zts20422e	Lion Claws +3
zts20423e	Lion Claws +4
zts20424e	Lion Claws +5
zts20425e	Lion Claws +6
zts20426e	Lion Claws +7
zts20427e	Lion Claws +8
zts20428e	Lion Claws +9
zts20429e	Strong Attack
zts20430e	Increases the power of weapons.
zts20431e	Strong Attack +1
zts20432e	Strong Attack +2
zts20433e	Strong Attack +3
zts20434e	Strong Attack +4
zts20435e	Strong Attack +5
zts20436e	Strong Attack +6
zts20437e	Strong Attack +7
zts20438e	Strong Attack +8
zts20439e	Strong Attack +9
zts20440e	Sharp Claws
zts20441e	Stronger attacks cause additional damage.
zts20442e	Sharp Claws +1
zts20443e	Sharp Claws +2
zts20444e	Sharp Claws +3
zts20445e	Sharp Claws +4
zts20446e	Sharp Claws +5
zts20447e	Sharp Claws +6
zts20448e	Sharp Claws +7
zts20449e	Sharp Claws +8
zts20450e	Sharp Claws +9
zts20451e	Recuperative Healing
zts20452e	Grants a chance of skill cooldowns being reset.
zts20453e	Recuperative Healing +1
zts20454e	Recuperative Healing +2
zts20455e	Recuperative Healing +3
zts20456e	Recuperative Healing +4
zts20457e	Recuperative Healing +5
zts20458e	Recuperative Healing +6
zts20459e	Recuperative Healing +7
zts20460e	Recuperative Healing +8
zts20461e	Recuperative Healing +9
zts20462e	Accurate Strike
zts20463e	Penetrates opponents' armour.
zts20464e	Accurate Strike +1
zts20465e	Accurate Strike +2
zts20466e	Accurate Strike +3
zts20467e	Accurate Strike +4
zts20468e	Accurate Strike +5
zts20469e	Accurate Strike +6
zts20470e	Accurate Strike +7
zts20471e	Accurate Strike +8
zts20472e	Accurate Strike +9
zts20473e	Lion Strike
zts20474e	Those who understand how to live in harmony with nature can embrace the power of the lion loa.
zts20475e	Lion Strike +1
zts20476e	Lion Strike +2
zts20477e	Lion Strike +3
zts20478e	Lion Strike +4
zts20479e	Lion Strike +5
zts20480e	Lion Strike +6
zts20481e	Lion Strike +7
zts20482e	Lion Strike +8
zts20483e	Lion Strike +9
zts20484e	Swift as the Wind
zts20485e	Increases movement speed and the dodge stat.
zts20486e	Swift as the Wind +1
zts20487e	Swift as the Wind +2
zts20488e	Swift as the Wind +3
zts20489e	Swift as the Wind +4
zts20490e	Swift as the Wind +5
zts20491e	Swift as the Wind +6
zts20492e	Swift as the Wind +7
zts20493e	Swift as the Wind +8
zts20494e	Swift as the Wind +9
zts20495e	Piercing Gaze
zts20496e	Identifies the enemy's weak points.
zts20497e	Piercing Gaze +1
zts20498e	Piercing Gaze +2
zts20499e	Piercing Gaze +3
zts20500e	Piercing Gaze +4
zts20501e	Piercing Gaze +5
zts20502e	Piercing Gaze +6
zts20503e	Piercing Gaze +7
zts20504e	Piercing Gaze +8
zts20505e	Piercing Gaze +9
zts20506e	Flying High
zts20507e	You skilfully conceal your weak points.
zts20508e	Flying High +1
zts20509e	Flying High +2
zts20510e	Flying High +3
zts20511e	Flying High +4
zts20512e	Flying High +5
zts20513e	Flying High +6
zts20514e	Flying High +7
zts20515e	Flying High +8
zts20516e	Flying High +9
zts20517e	Eagle Eyes
zts20518e	Increases the accuracy of your attacks.
zts20519e	Eagle Eyes +1
zts20520e	Eagle Eyes +2
zts20521e	Eagle Eyes +3
zts20522e	Eagle Eyes +4
zts20523e	Eagle Eyes +5
zts20524e	Eagle Eyes +6
zts20525e	Eagle Eyes +7
zts20526e	Eagle Eyes +8
zts20527e	Eagle Eyes +9
zts20528e	Eye for an Eye
zts20529e	Reflects damage back at the enemy.
zts20530e	Eye for an Eye +1
zts20531e	Eye for an Eye +2
zts20532e	Eye for an Eye +3
zts20533e	Eye for an Eye +4
zts20534e	Eye for an Eye +5
zts20535e	Eye for an Eye +6
zts20536e	Eye for an Eye +7
zts20537e	Eye for an Eye +8
zts20538e	Eye for an Eye +9
zts20539e	Survival Instinct
zts20540e	When in danger, your dexterity increases.
zts20541e	Survival Instinct +1
zts20542e	Survival Instinct +2
zts20543e	Survival Instinct +3
zts20544e	Survival Instinct +4
zts20545e	Survival Instinct +5
zts20546e	Survival Instinct +6
zts20547e	Survival Instinct +7
zts20548e	Survival Instinct +8
zts20549e	Survival Instinct +9
zts20550e	Growing Experience
zts20551e	As your experience grows, it is easier for you to identify enemies' weak points.
zts20552e	Growing Experience +1
zts20553e	Growing Experience +2
zts20554e	Growing Experience +3
zts20555e	Growing Experience +4
zts20556e	Growing Experience +5
zts20557e	Growing Experience +6
zts20558e	Growing Experience +7
zts20559e	Growing Experience +8
zts20560e	Growing Experience +9
zts20561e	Eagle Claws
zts20562e	Those who understand how to live in harmony with nature can embrace the power of the eagle loa.
zts20563e	Eagle Claws +1
zts20564e	Eagle Claws +2
zts20565e	Eagle Claws +3
zts20566e	Eagle Claws +4
zts20567e	Eagle Claws +5
zts20568e	Eagle Claws +6
zts20569e	Eagle Claws +7
zts20570e	Eagle Claws +8
zts20571e	Eagle Claws +9
zts20572e	Snake Venom
zts20573e	An attack fortified with poison.
zts20574e	Snake Venom +1
zts20575e	Snake Venom +2
zts20576e	Snake Venom +3
zts20577e	Snake Venom +4
zts20578e	Snake Venom +5
zts20579e	Snake Venom +6
zts20580e	Snake Venom +7
zts20581e	Snake Venom +8
zts20582e	Snake Venom +9
zts20583e	Attack Magic
zts20584e	Your attack power is strengthened by your magic defence.
zts20585e	Attack Magic +1
zts20586e	Attack Magic +2
zts20587e	Attack Magic +3
zts20588e	Attack Magic +4
zts20589e	Attack Magic +5
zts20590e	Attack Magic +6
zts20591e	Attack Magic +7
zts20592e	Attack Magic +8
zts20593e	Attack Magic +9
zts20594e	First Strike
zts20595e	If you take an damage, it is deducted from your MP instead of your HP.
zts20596e	First Strike +1
zts20597e	First Strike +2
zts20598e	First Strike +3
zts20599e	First Strike +4
zts20600e	First Strike +5
zts20601e	First Strike +6
zts20602e	First Strike +7
zts20603e	First Strike +8
zts20604e	First Strike +9
zts20605e	Curse
zts20606e	You are out for revenge and curse your opponent.
zts20607e	Curse +1
zts20608e	Curse +2
zts20609e	Curse +3
zts20610e	Curse +4
zts20611e	Curse +5
zts20612e	Curse +6
zts20613e	Curse +7
zts20614e	Curse +8
zts20615e	Curse +9
zts20616e	Elemental Shield
zts20617e	Elemental damage taken is reduced.
zts20618e	Elemental Shield +1
zts20619e	Elemental Shield +2
zts20620e	Elemental Shield +3
zts20621e	Elemental Shield +4
zts20622e	Elemental Shield +5
zts20623e	Elemental Shield +6
zts20624e	Elemental Shield +7
zts20625e	Elemental Shield +8
zts20626e	Elemental Shield +9
zts20627e	Magic Armour
zts20628e	Damage is reduced by a wondrous magic.
zts20629e	Magic Armour +1
